column,test,type,null_pct,n_categories,chi2_statistic,degrees_of_freedom,p_value,significant,strength_score,top_win_rate_categories,bottom_win_rate_categories,won_mean,churned_mean,t_statistic
PQQNet,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,133.1282,125.5626,-8.9944
Tenure_Group,chi-squared,categorical,0.9,4.0,340.4094,3.0,0.0,True,100,"{'4+': 89.6, '3': 85.9, '2': 82.1}","{'3': 85.9, '2': 82.1, '1': 76.6}",,,
#_of_Connection,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,2.9143,1.3256,-22.5125
Payment_Method,chi-squared,categorical,0.0,4.0,15810.0,3.0,0.0,True,100,"{'BACS': 100.0, 'CARD': 100.0, 'WORLD PAY': 100.0}","{'CARD': 100.0, 'WORLD PAY': 100.0, 'UNKNOWN': 0.0}",,,
Starting_Connection_Qty,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,3.562,3.0648,-11.813
Starting_Connection_Net,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,245.1441,219.4658,-8.8952
Amount,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,1141.8957,1006.6912,-10.0228
Connection_Qty,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,3.3922,3.0453,-9.6366
Connection_Net,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,194.9844,169.929,-10.0079
Total_Amount,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,1085.326,920.9499,-12.8863
datediff,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,7.0269,11.5732,22.3921
Discount_or_Waiver_Requested,t-test (Welch),numeric,0.0,,,,9e-06,True,50,,,0.0493,0.0311,-4.4439
Serious_Complaint,t-test (Welch),numeric,0.0,,,,5.8e-05,True,42,,,0.0099,0.0231,4.026
Explicit_Competitor_Mention,t-test (Welch),numeric,0.0,,,,7.6e-05,True,41,,,0.0114,0.0248,3.9622
Call_Year,t-test (Welch),numeric,0.0,,,,0.000136,True,39,,,2024.7207,2024.7737,3.8197
Other_Complaint,t-test (Welch),numeric,0.0,,,,0.000189,True,37,,,0.2433,0.2813,3.7377
Renewal_Year,t-test (Welch),numeric,0.0,,,,0.000333,True,35,,,2024.7127,2024.7622,3.5923
Agent_Renewal_Initiation,t-test (Welch),numeric,0.0,,,,0.002259,True,26,,,0.7167,0.7471,3.0564
Explicit_Switching_Intent,t-test (Welch),numeric,0.0,,,,0.003298,True,25,,,0.0003,0.0044,2.9416
Proforma_Date_Is_Null,t-test (Welch),numeric,0.0,,,,0.006705,True,22,,,0.0016,0.0062,2.7135
Discussion_on_Price_Increase,t-test (Welch),numeric,0.0,,,,0.169039,False,8,,,0.1217,0.1118,-1.3756
Registration_Date_Is_Null,t-test (Welch),numeric,0.0,,,,0.169206,False,8,,,0.0083,0.0115,1.3751
Starting_Package_Net,t-test (Welch),numeric,0.0,,,,0.253888,False,6,,,67.8179,66.0603,-1.1412
Call_Reschedule_Request,t-test (Welch),numeric,0.0,,,,0.785202,False,1,,,0.0195,0.0186,-0.2726
